183,Roxana,village,38.8216,-90.0459
184,Park Ridge,city,42.0118,-87.8434
185,Beach Park,village,42.4423,-87.8754
186,Salem,city,38.6275,-88.9594
187,Cairo,city,37.0063,-89.1829
188,Du Quoin,city,38.0017,-89.2328
189,Wood River,city,38.8633,-90.0776
190,Glen Ellyn,village,41.8667,-88.0627
191,Olney,city,38.7281,-88.0842
192,Lake Zurich,village,42.1950,-88.0877
193,Lisle,village,41.7921,-88.0877
194,Rockton,village,42.4471,-89.0631
195,Burlington,village,42.0529,-88.5689
196,Freeburg,village,38.4391,-89.9162
197,Bloomingdale,village,41.9515,-88.0891
198,Manhattan,village,41.4202,-87.9807
199,Harrisburg,city,37.7377,-88.5458
200,Kewanee,city,41.2391,-89.9257
201,Lake Villa,village,42.4176,-88.0826
202,Inverness,village,42.1151,-88.1009
203,Alsip,village,41.6703,-87.7371
204,Cary,village,42.2121,-88.2496
205,Warsaw,city,40.3510,-91.4280
206,Swansea,village,38.5518,-89.9875
207,Palos Park,village,41.6662,-87.8296
208,Hanover Park,village,41.9825,-88.1429
209,Dupo,village,38.5161,-90.2176
210,Greenville,city,38.8866,-89.3894
211,Milan,village,41.4355,-90.5627
212,Lincoln,city,40.1507,-89.3703
213,Troy,city,38.7262,-89.8935
214,Amboy,city,41.7159,-89.3409
215,Harvey,city,41.6076,-87.6520
216,Seneca,village,41.3026,-88.6147
217,Fairmont City,village,38.6465,-90.1002
218,Darien,city,41.7457,-87.9815
219,South Beloit,city,42.4848,-89.0274
220,Prairie Grove,village,42.2739,-88.2699
221,Oak Forest,city,41.6067,-87.7533
222,Metropolis,city,37.1496,-88.6874
223,Sterling,city,41.7997,-89.6959
224,Bedford Park,village,41.7678,-87.7726
225,Cicero,town,41.8445,-87.7593
226,Niles,village,42.0279,-87.8100
227,Maryville,village,38.7288,-89.9663
228,Chester,city,37.9258,-89.8277
229,Coal City,village,41.2789,-88.2801
230,Lake Barrington,village,42.2102,-88.1695
231,Wayne,village,41.9473,-88.2532
232,Paris,city,39.6151,-87.6891
233,Rolling Meadows,city,42.0749,-88.0254
234,Round Lake,village,42.3432,-88.1021
235,Roselle,village,41.9802,-88.0859
236,Deerfield,village,42.1661,-87.8525
237,Bensenville,village,41.9580,-87.9438
238,Benton,city,38.0132,-88.9173
239,Gilberts,village,42.1100,-88.3719
240,Mettawa,village,42.2434,-87.9214
241,Warrenville,city,41.8210,-88.1875
242,Markham,city,41.6000,-87.6905
243,Wilmette,village,42.0773,-87.7286
244,Glendale Heights,village,41.9189,-88.0781
245,Manteno,village,41.2478,-87.8443
246,East Alton,village,38.8841,-90.1079
247,Hennepin,village,41.2505,-89.3141
248,Carterville,city,37.7628,-89.0845
249,Braidwood,city,41.2702,-88.2234
250,Lakemoor,village,42.3389,-88.2027
251,Makanda,village,37.6203,-89.2371
252,Chillicothe,city,40.9160,-89.5027
253,Murphysboro,city,37.7672,-89.3324
254,Jerseyville,city,39.1172,-90.3267
255,Homewood,village,41.5594,-87.6620
256,Hartford,village,38.8131,-90.0921
257,Mendota,city,41.5567,-89.1005
258,Lynwood,village,41.5226,-87.5505
259,Morton Grove,village,42.0423,-87.7890
260,Wauconda,village,42.2770,-88.1353
261,Round Lake Beach,village,42.3824,-88.0807
262,Itasca,village,41.9766,-88.0188
263,Westmont,village,41.7944,-87.9729
264,Oglesby,city,41.2932,-89.0710
265,West Frankfort,city,37.8995,-88.9308
266,Country Club Hills,city,41.5635,-87.7254
267,Wonder Lake,village,42.3834,-88.3500
268,Park Forest,village,41.4817,-87.6868
269,Mount Carmel,city,38.4190,-87.7698
270,Wood Dale,city,41.9663,-87.9809
271,Pittsfield,city,39.6005,-90.8101
272,Franklin Park,village,41.9360,-87.8792
273,Sandwich,city,41.6501,-88.6190
274,North Barrington,village,42.2069,-88.1289
275,Villa Park,village,41.8856,-87.9782
276,Geneseo,city,41.4513,-90.1548
277,Oak Park,village,41.8872,-87.7899
278,Robinson,city,39.0086,-87.7334
279,Flora,city,38.6656,-88.4738
280,Winthrop Harbor,village,42.4797,-87.8277
281,Byron,city,42.1218,-89.2668
282,Joslin,cdp,41.5446,-90.2219
283,Hinsdale,village,41.8007,-87.9282
284,Galena,city,42.4221,-90.4278
285,Monee,village,41.4178,-87.7499
286,Barrington,village,42.1515,-88.1285
287,Sauget,village,38.5859,-90.1531
288,Lakewood,village,42.2245,-88.3867
289,Dolton,village,41.6303,-87.5968
290,Lincolnshire,village,42.1965,-87.9177
291,Lindenhurst,village,42.4171,-88.0264
292,Smithton,village,38.4143,-89.9901
293,Richton Park,village,41.4802,-87.7425
294,Melrose Park,village,41.9030,-87.8636
295,Scott AFB,cdp,38.5430,-89.8521
296,Big Rock,village,41.7668,-88.5264
297,Kildeer,village,42.1814,-88.0489
298,Richmond,village,42.4638,-88.3094
299,Silvis,city,41.4977,-90.4101
300,Oak Run,cdp,40.9599,-90.1301
301,Mount Zion,village,39.7840,-88.8850
302,Palos Hills,city,41.7007,-87.8253
303,Monmouth,city,40.9142,-90.6431
304,Creve Coeur,village,40.6382,-89.6017
305,Fairview,village,40.6547,-90.1832
306,Prospect Heights,city,42.1037,-87.9290
307,Hopkins Park,village,41.0691,-87.6064
308,Davis Junction,village,42.1146,-89.0903
309,Burbank,city,41.7444,-87.7686
310,Willow Springs,village,41.7341,-87.8840
311,Shelbyville,city,39.4103,-88.7997
312,Auburn,city,39.5763,-89.7440
313,Volo,village,42.3303,-88.1587
314,Bridgeview,village,41.7403,-87.8067
315,Pinckneyville,city,38.0861,-89.3270
316,Fairfield,city,38.3806,-88.3725
317,Lake Bluff,village,42.2827,-87.8523
318,Blue Island,city,41.6576,-87.6811
319,Pingree Grove,village,42.0866,-88.4324
320,Monticello,city,40.0335,-88.5741
321,West Dundee,village,42.1044,-88.3335
322,Staunton,city,39.0117,-89.7907
323,Sauk Village,village,41.4901,-87.5706
324,Green Oaks,village,42.3000,-87.9110
325,Rock Falls,city,41.7721,-89.6942
326,Riverwoods,village,42.1729,-87.8949
327,Twin Grove,cdp,40.4793,-89.1015
328,Berwyn,city,41.8433,-87.7909
329,Dwight,village,41.0987,-88.4221
330,Ringwood,village,42.3973,-88.3041
331,Pana,city,39.3946,-89.0908
332,Colona,city,41.4734,-90.3324
333,Winnetka,village,42.1062,-87.7428
334,Tilton,village,40.0950,-87.6421
335,Palos Heights,city,41.6634,-87.7960
336,Buffalo Prairie,cdp,41.3409,-90.8482
337,Elburn,village,41.8860,-88.4609
338,Glencoe,village,42.1345,-87.7632
339,Apple Canyon Lake,cdp,42.4338,-90.1597
340,Grafton,city,38.9765,-90.4257
341,Anna,city,37.4611,-89.2375
342,Westchester,village,41.8492,-87.8906
343,Hoopeston,city,40.4608,-87.6636
344,Deer Park,village,42.1663,-88.0862
345,Marshall,city,39.3995,-87.6912
346,Flossmoor,village,41.5391,-87.6857
347,Beardstown,city,40.0101,-90.4311
348,Cortland,town,41.9372,-88.6893
349,Riverdale,village,41.6427,-87.6356
350,Clinton,city,40.1470,-88.9630
351,Hamilton,city,40.3915,-91.3613
352,Millstadt,village,38.4575,-90.0859
353,Hillcrest,village,41.9668,-89.0626
354,Lake Holiday,cdp,41.6201,-88.6649
355,North Utica,village,41.3536,-89.0196
356,Carlyle,city,38.6223,-89.3754
357,Valmeyer,village,38.3058,-90.2983
358,Grant Park,village,41.2427,-87.6358
359,Steger,village,41.4723,-87.6178
360,Hazel Crest,village,41.5742,-87.6893
361,Nauvoo,city,40.5445,-91.3828
362,Carlinville,city,39.2775,-89.8761
363,Island Lake,village,42.2788,-88.2005
364,Olmsted,village,37.1824,-89.0840
365,Heyworth,village,40.3144,-88.9923
366,Savoy,village,40.0591,-88.2545
367,Glenwood,village,41.5410,-87.6117
368,Northfield,village,42.1030,-87.7774
369,Riverton,village,39.8461,-89.5364
370,Northlake,city,41.9143,-87.9055
371,Hillside,village,41.8675,-87.9018
372,Coal Valley,village,41.4384,-90.4394
373,Evergreen Park,village,41.7213,-87.7013
374,Sherman,village,39.8903,-89.6045
375,Braceville,village,41.2253,-88.2676
376,Forsyth,village,39.9261,-88.9641
377,Winfield,village,41.8784,-88.1530
378,Nashville,city,38.3536,-89.3780
379,Brookfield,village,41.8251,-87.8475
380,Ridge Farm,village,39.8957,-87.6520
381,Crestwood,village,41.6456,-87.7401
382,Paxton,city,40.4563,-88.1034
383,Downs,village,40.3988,-88.8892
384,Gages Lake,cdp,42.3516,-87.9824
385,Tuscola,city,39.7959,-88.2755
386,Watseka,city,40.7751,-87.7304
387,Olympia Fields,village,41.5220,-87.6916
388,East Dundee,village,42.0974,-88.2481
389,Gardner,village,41.1945,-88.3115
390,Countryside,city,41.7742,-87.8752
391,East Dubuque,city,42.4883,-90.6242
392,Hickory Hills,city,41.7248,-87.8280
393,Justice,village,41.7534,-87.8269
394,Vienna,city,37.4136,-88.8866
395,Long Creek,village,39.8052,-88.8473
396,Midlothian,village,41.6254,-87.7242
397,Ullin,village,37.2802,-89.1758
398,Galva,city,41.1690,-90.0374
399,Western Springs,village,41.8023,-87.9006
400,Dunlap,village,40.8452,-89.6759
401,Havana,city,40.2951,-90.0578
402,Schiller Park,village,41.9586,-87.8693
403,Sullivan,city,39.5952,-88.6089
404,McLeansboro,city,38.0903,-88.5386
405,Beecher,village,41.3500,-87.6173
